人群,单向连接(UCs),双向连接(BCs),自连接(SCs),活跃dECs总数
儿童,2481（53.45%）,2134（45.97%）,27（0.58%）,4642
青少年,1535（63.64%）,850（35.24%）,27（1.12%）,2412
