Method,JSD,SSIM,NND,FN,MAE
DCDF-VAE,0.038659,0.445372,209.484611,24.568548,0.07001
cMLP,0.012117,0.99811,1.347225,0.115332,0.000351
Pearson-Corr,0.006306,0.843312,91.879597,21.843953,0.068479
Kendall-Corr,0.006263,0.887957,60.909733,13.926874,0.043668
Spearman-Corr,0.006051,0.864551,82.464581,18.749068,0.058558
cLSTM,3e-06,0.745377,21.257218,1.542504,0.004665
