人群,单向连接(UCs),双向连接(BCs),自连接(SCs),活跃dECs总数
儿童,2679（57.71%）,1936（41.71%）,27（0.58%）,4642
青少年,1631（67.62%）,754（31.26%）,27（1.12%）,2412
