epoch,tau,loss,rec,kl,sparse,temporal,prior,val_loss
1.0,1.0,1.5297930416900938,1.5252014765652215,4.508491284963561,4.2586442988093305,0.09087643736019367,0.024158312541591686,0.8785289813732279
2.0,0.98,0.3292106155578683,0.3248528987169266,8.591547128630847,3.9235134299208476,0.08939570656455145,0.011693655780130407,0.8522211374907658
3.0,0.9603999999999999,0.25777417730267455,0.2531513875214065,10.714586670805769,4.049092977512173,0.10377669597907764,0.010055968731005744,1.0054552719510834
4.0,0.9411919999999999,0.2231214699766985,0.21830742061138153,12.25839488099261,4.1102402137547,0.11482971257007704,0.009617812420445971,1.0286778026613697
5.0,0.9223681599999999,0.20303625895119295,0.19810887271674668,13.324881448978331,4.117215541804709,0.12095997959557103,0.009634320084687049,1.1197420995810936
6.0,0.9039207967999999,0.1893589164062244,0.18438065533594386,14.103464603424072,4.083480667777177,0.1242251144949256,0.009623572877721816,1.313500346808598
7.0,0.8858423808639999,0.17890642174496885,0.17386648940240465,14.5077415094143,4.104900101336037,0.13011192871121371,0.009740928767203557,1.5099214438734383
8.0,0.8681255332467199,0.17354694817487787,0.1684970832997706,14.713257539563063,4.088310703998658,0.13370818217716565,0.009817306917705914,1.5420607492841523
9.0,0.8507630225817855,0.16851641737469814,0.16345389196422042,14.816852639361125,4.086856336128421,0.13730545332882463,0.009920771898156622,1.6472800559010998
10.0,0.8337477621301498,0.1642113278006635,0.15916106213883655,14.77979704228843,4.073060797482002,0.14071868932465229,0.009992194577778985,1.7445169111777996
