group,hp_id,hidden_dim,latent_dim,lambda_sparse,lambda_kl,lambda_prior,lr,selection_score,final_loss,final_val_loss,mean_density_q95
children,0,32,12,0.0008,0.0001,0.03,0.001,0.5604494971699184,0.5364652105740139,0.5604321360588074,0.050347222222222224
children,1,48,16,0.0005,0.0001,0.05,0.0008,0.5410280389255947,0.6307673880032131,0.5410106778144836,0.050347222222222224
