epoch,tau,loss,rec,kl,sparse,temporal,prior,val_loss
1.0,1.0,1.6896098341260637,1.682175772530692,3.541261843272618,5.919246332986014,0.16660583445004054,0.08207134583166667,1.0263275504112244
2.0,0.98,1.0691244772502355,1.0626638276236398,3.0242114067077637,5.798531327928815,0.16908538341522217,0.06484104160751615,0.9928082823753357
3.0,0.9603999999999999,0.9965072870254517,0.9905273829187665,2.8962629522596086,5.716546194893973,0.1707212371485574,0.05629870668053627,0.9497773051261902
4.0,0.9411919999999999,0.9426107151167733,0.9369468007768903,3.001360995428903,5.647465297154018,0.17253680527210236,0.05045572402221816,0.9190553724765778
5.0,0.9223681599999999,0.9015165397099086,0.8959895712988717,3.2967402253832137,5.604099205562046,0.17465866250651224,0.047555989984955103,0.890582263469696
6.0,0.9039207967999999,0.8723861575126648,0.8669767379760742,3.685229812349592,5.558604649135044,0.17688106000423431,0.04487805547458785,0.8794218003749847
7.0,0.8858423808639999,0.8469694937978473,0.8416604569980076,4.179209130150931,5.513254506247384,0.1790440912757601,0.04233170726469585,0.8476211726665497
8.0,0.8681255332467199,0.8257016369274685,0.8205064194543021,4.71440771647862,5.459683690752302,0.18063283818108694,0.03951757720538548,0.838565319776535
9.0,0.8507630225817855,0.8039926971708026,0.7990014382771083,5.195870126996722,5.377092020852225,0.18064765632152557,0.035301193062748225,0.7958874106407166
10.0,0.8337477621301498,0.782968418938773,0.7780707137925285,5.675620419638498,5.32170649937221,0.1821513431412833,0.03302147558757237,0.7222408354282379
11.0,0.8170728068875467,0.7214627436229161,0.7166257160050529,6.077374458312988,5.267117840903146,0.18613006600311824,0.03154242198382105,0.5612933337688446
12.0,0.8007313507497958,0.6307673880032131,0.6253564357757568,6.50937237058367,5.344506808689663,0.20452482998371124,0.04134597309998104,0.5410106778144836
