Method,JSD,SSIM,NND,FN,MAE
DCDF-VAE,0.07368259121330972,-0.13596942425730776,388.16266249409074,45.52407378285473,0.12972424599982338
cMLP,0.0121174807674222,0.9981099837536248,1.34722491941725,0.1153323792178659,0.0003511549775253
Pearson-Corr,0.0063057349383967,0.8433122000616877,91.87959658207564,21.843952641411235,0.0684794830374856
Kendall-Corr,0.0062628822947535,0.8879574861223979,60.90973292266389,13.926874436515586,0.0436677805029093
Spearman-Corr-ref,0.0060514237505979,0.864551166736753,82.46458060067238,18.749067593856207,0.0585581473737703
cLSTM,3.213960275825454e-06,0.7453772262731242,21.257217626108403,1.5425041874818433,0.0046654147881915
