gain,JSD,SSIM,NND,FN,MAE
1.0,0.024353665425890035,0.775961529716102,116.73651702326801,18.696036569522445,0.058864556182400815
1.05,0.025002325634664882,0.7558968442705714,122.57333733156037,19.63083749830522,0.06180778111080224
1.1,0.02554973649265735,0.735363936464174,128.41017143800337,20.565640636198527,0.06475101296103462
1.1500000000000001,0.026053892522674496,0.7144183056708193,134.2469915876103,21.500441630499548,0.06769423831436508
1.2000000000000002,0.02657349402263911,0.6931145822058495,140.08382566693174,22.435244630963254,0.07063746961423707
1.2500000000000002,0.027143447732565454,0.6715066724218025,145.9206460036137,23.37004570917268,0.07358069521892298
1.3000000000000003,0.027751489360870782,0.6496472272207309,151.7574664837935,24.304846609828253,0.07652392007461035
1.3500000000000003,0.028391675028480928,0.6275875681491423,157.5943007128862,25.239649791828462,0.07946715212154289
1.4000000000000004,0.029081331860062412,0.6053777005902631,163.43112059447355,26.174450643915733,0.08241037700264975
1.4500000000000004,0.0298315012103905,0.583065773720889,169.26795571140792,27.109253937067407,0.08535360930959378
1.5000000000000004,0.030630304743652033,0.5606984065265427,175.10477573564964,28.044054854890934,0.08829683424149372
1.5500000000000005,0.03148447281982726,0.5383201768488857,180.9415954116471,28.978855794080808,0.09124005931135332
1.6000000000000005,0.03238746143864179,0.5159737066364083,186.7784309879794,29.913659119060448,0.09418329166711734
1.6500000000000006,0.03333774967087472,0.493699768019604,192.61525008623371,30.848459893570585,0.09712651629519718
1.7000000000000006,0.03435110170915464,0.4715368174259387,198.4520845018196,31.78326302693075,0.10006974811614826
1.7500000000000007,0.03542937630647278,0.44952142482346796,204.28890497958406,32.718063991015306,0.10301297331413009
1.8000000000000007,0.03656524020427538,0.42768786659447455,210.12572475546168,33.65286490396877,0.10595619817511033
1.8500000000000008,0.03774142885391685,0.4060682795128158,215.96255960324766,34.58766810699823,0.10889943039899636
1.9000000000000008,0.03898635680495384,0.3846928241928486,221.79937913820967,35.522468958417114,0.11184265515043927
1.9500000000000008,0.04031546429887818,0.36358933671744664,227.63621373117624,36.45727220981548,0.1147858873629917
2.000000000000001,0.04172145421121194,0.3427837817048461,233.47303407680647,37.392073138766634,0.11772911236192699
2.0500000000000007,0.04318800725234518,0.32229991891661286,239.30985442630256,38.326874063851996,0.12067233734799782
2.100000000000001,0.044724130290292,0.30215956015413226,245.14667491754344,39.26167502155969,0.1236155623113413
2.1500000000000012,0.0463353113798024,0.2823824806241033,250.98352252495494,40.196480420888534,0.12655880144548917
2.200000000000001,0.04802766285253786,0.2629868481951381,256.8203433566041,41.13128139015542,0.12950202658738508
2.250000000000001,0.04981397406809499,0.24398872632920768,262.65716308182147,42.06608228072198,0.13244525140120103
2.300000000000001,0.05166903780750644,0.2254025151403229,268.49398358499184,43.00088325399202,0.1353884766181315
2.3500000000000014,0.0536036128365348,0.20724093637271251,274.33080400030525,43.935684144535855,0.13833170137272507
2.4000000000000012,0.05561209007009718,0.18951501438893298,280.1676515989577,44.870489443807635,0.1412749399182382
2.450000000000001,0.057689813905500695,0.17223448833284258,286.0044725430128,45.805290481151985,0.1442181653884237
2.5000000000000013,0.05984400967260051,0.15540739025104452,291.84129235650084,46.740091420686426,0.1471613904873771
2.5500000000000016,0.062052704271603365,0.13904044838007773,297.67811247193924,47.67489235792181,0.15010461551762982
2.6000000000000014,0.06431389182555791,0.12313908331279395,303.51493306001174,48.60969326879311,0.15304784036402475
