group,UCs,BCs,SCs,Active,UC_ratio,BC_ratio,SC_ratio
children,2679.0,1936.0,27.0,4642.0,0.5771219302024989,0.41706161137440756,0.005816458423093494
young,1631.0,754.0,27.0,2412.0,0.6762023217247097,0.31260364842454397,0.011194029850746268
