name,pos_weight,leaf,seed,threshold,fs_accuracy,fs_balanced_accuracy,test_accuracy,test_balanced_accuracy,confusion_matrix
seed50_leaf8,0.35,8,50,0.507,0.625,0.6228393564556552,0.8863523573200992,0.8935483870967742,"[[868, 217], [12, 918]]"
seed50_leaf8,0.35,8,50,0.5085,0.6248387096774194,0.622604899345137,0.8863523573200992,0.8934715821812595,"[[869, 216], [13, 917]]"
seed50_leaf8,0.35,8,50,0.5095,0.6246774193548387,0.6223704422346188,0.8863523573200992,0.8931643625192012,"[[873, 212], [17, 913]]"
seed50_leaf8,0.35,8,50,0.51,0.6241935483870967,0.62184493491794,0.8863523573200992,0.8930875576036866,"[[874, 211], [18, 912]]"
seed50_leaf8,0.35,8,50,0.5105,0.6240322580645161,0.6216428167192174,0.8863523573200992,0.8929339477726574,"[[876, 209], [20, 910]]"
seed50_leaf8,0.35,8,50,0.5135,0.6238709677419355,0.621246665049721,0.8863523573200992,0.8928571428571428,"[[877, 208], [21, 909]]"
seed50_leaf8,0.35,8,50,0.5135154414521632,0.6238709677419355,0.621246665049721,0.8863523573200992,0.8928571428571428,"[[877, 208], [21, 909]]"
seed50_leaf8,0.35,8,50,0.514,0.6243548387096775,0.6216913250869108,0.8863523573200992,0.8927803379416283,"[[878, 207], [22, 908]]"
seed50_leaf8,0.35,8,50,0.5178009688130689,0.6230645161290322,0.62007437949713,0.8863523573200992,0.8924731182795699,"[[882, 203], [26, 904]]"
seed50_leaf8,0.35,8,50,0.5075,0.625,0.6228393564556552,0.8858560794044665,0.8930107526881721,"[[868, 217], [13, 917]]"
seed50_leaf8,0.35,8,50,0.508,0.625,0.6227908480879618,0.8858560794044665,0.8930107526881721,"[[868, 217], [13, 917]]"
seed50_leaf8,0.35,8,50,0.509,0.6248387096774194,0.6225725604333414,0.8858560794044665,0.8927803379416283,"[[871, 214], [16, 914]]"
seed50_leaf8,0.35,8,50,0.511,0.6245161290322581,0.6220713073005093,0.8858560794044665,0.8923963133640553,"[[876, 209], [21, 909]]"
seed50_leaf8,0.35,8,50,0.5115,0.6241935483870967,0.6217155792707576,0.8858560794044665,0.8923963133640553,"[[876, 209], [21, 909]]"
seed50_leaf8,0.35,8,50,0.512,0.6241935483870967,0.6216670709030641,0.8858560794044665,0.8923963133640553,"[[876, 209], [21, 909]]"
seed50_leaf8,0.35,8,50,0.5125,0.6241935483870967,0.6216347319912685,0.8858560794044665,0.8923963133640553,"[[876, 209], [21, 909]]"
seed50_leaf8,0.35,8,50,0.513,0.6240322580645161,0.6214649527043414,0.8858560794044665,0.8923963133640553,"[[876, 209], [21, 909]]"
seed50_leaf8,0.35,8,50,0.5145,0.6245161290322581,0.6218125960061445,0.8858560794044665,0.892242703533026,"[[878, 207], [23, 907]]"
seed50_leaf8,0.35,8,50,0.515,0.6243548387096775,0.6215781388956261,0.8858560794044665,0.892242703533026,"[[878, 207], [23, 907]]"
seed50_leaf8,0.35,8,50,0.5155,0.6240322580645161,0.6212062414099766,0.8858560794044665,0.8921658986175116,"[[879, 206], [24, 906]]"
seed50_leaf8,0.35,8,50,0.5175,0.6230645161290322,0.6200905489530277,0.8858560794044665,0.8920122887864823,"[[881, 204], [26, 904]]"
seed50_leaf8,0.35,8,50,0.518,0.6229032258064516,0.6198722612984073,0.8858560794044665,0.8919354838709677,"[[882, 203], [27, 903]]"
seed50_leaf8,0.35,8,50,0.506,0.6246774193548387,0.622612984073086,0.8853598014888338,0.8926267281105991,"[[866, 219], [12, 918]]"
seed50_leaf8,0.35,8,50,0.5060956165413641,0.6245161290322581,0.622443204786159,0.8853598014888338,0.8926267281105991,"[[866, 219], [12, 918]]"
seed50_leaf8,0.35,8,50,0.5065,0.6245161290322581,0.6223946964184656,0.8853598014888338,0.8926267281105991,"[[866, 219], [12, 918]]"
seed50_leaf8,0.35,8,50,0.5090203641648391,0.6248387096774194,0.6225725604333414,0.8853598014888338,0.892242703533026,"[[871, 214], [17, 913]]"
seed50_leaf8,0.35,8,50,0.516,0.6240322580645161,0.6211739024981809,0.8853598014888338,0.8915514592933949,"[[880, 205], [26, 904]]"
seed50_leaf8,0.35,8,50,0.5165,0.6232258064516129,0.6203088366076481,0.8853598014888338,0.8915514592933949,"[[880, 205], [26, 904]]"
seed50_leaf8,0.35,8,50,0.5169999999999999,0.622741935483871,0.6197994987468671,0.8853598014888338,0.8915514592933949,"[[880, 205], [26, 904]]"
seed50_leaf8,0.35,8,50,0.5185,0.622741935483871,0.6196701430996847,0.8853598014888338,0.8913978494623656,"[[882, 203], [28, 902]]"
seed50_leaf8,0.35,8,50,0.5195,0.6230645161290322,0.6199288543940495,0.8853598014888338,0.891321044546851,"[[883, 202], [29, 901]]"
seed50_leaf8,0.35,8,50,0.52,0.6232258064516129,0.6200339558573854,0.8853598014888338,0.891321044546851,"[[883, 202], [29, 901]]"
seed50_leaf8,0.35,8,50,0.5205,0.6233870967741936,0.6201713962325168,0.8853598014888338,0.891321044546851,"[[883, 202], [29, 901]]"
seed50_leaf8,0.35,8,50,0.505,0.6248387096774194,0.622863610639502,0.884863523573201,0.892242703533026,"[[864, 221], [11, 919]]"
seed50_leaf8,0.35,8,50,0.5055,0.6248387096774194,0.6228312717277064,0.884863523573201,0.892242703533026,"[[864, 221], [11, 919]]"
best_seed198,0.35,8,198,0.503,0.622741935483871,0.6204786158945752,0.884863523573201,0.8915514592933949,"[[873, 212], [20, 910]]"
best_seed198,0.35,8,198,0.504,0.6220967741935484,0.6197994987468671,0.884863523573201,0.8914746543778802,"[[874, 211], [21, 909]]"
best_seed198,0.35,8,198,0.5045,0.6224193548387097,0.6200905489530277,0.884863523573201,0.8913978494623656,"[[875, 210], [22, 908]]"
best_seed198,0.35,8,198,0.505,0.6225806451612903,0.620227989328159,0.884863523573201,0.8913978494623656,"[[875, 210], [22, 908]]"
best_seed198,0.35,8,198,0.5055,0.622741935483871,0.6203492602473927,0.884863523573201,0.8913210445468509,"[[876, 209], [23, 907]]"
best_seed198,0.35,8,198,0.5065,0.622741935483871,0.6203007518796992,0.884863523573201,0.8912442396313365,"[[877, 208], [24, 906]]"
seed50_leaf8,0.35,8,50,0.5189999999999999,0.6229032258064516,0.6197914140189182,0.884863523573201,0.8908602150537634,"[[882, 203], [29, 901]]"
seed50_leaf8,0.35,8,50,0.5215,0.6240322580645161,0.6207858355566336,0.884863523573201,0.8907066052227343,"[[884, 201], [31, 899]]"
seed50_leaf8,0.35,8,50,0.504,0.6241935483870967,0.6223138491389765,0.8843672456575682,0.8917818740399386,"[[863, 222], [11, 919]]"
seed50_leaf8,0.35,8,50,0.5045,0.6245161290322581,0.6225887298892392,0.8843672456575682,0.8917818740399386,"[[863, 222], [11, 919]]"
best_seed198,0.35,8,198,0.5015,0.622741935483871,0.6205594631740642,0.8843672456575682,0.8911674347158218,"[[871, 214], [19, 911]]"
best_seed198,0.35,8,198,0.5025,0.6225806451612903,0.620325006063546,0.8843672456575682,0.8910906298003072,"[[872, 213], [20, 910]]"
best_seed198,0.35,8,198,0.5035,0.6225806451612903,0.6203088366076481,0.8843672456575682,0.8910138248847926,"[[873, 212], [21, 909]]"
best_seed198,0.35,8,198,0.5052097405315423,0.6224193548387097,0.6200582100412322,0.8843672456575682,0.8908602150537634,"[[875, 210], [23, 907]]"
best_seed198,0.35,8,198,0.506,0.622741935483871,0.6203330907914948,0.8843672456575682,0.8907834101382488,"[[876, 209], [24, 906]]"
seed50_leaf8,0.35,8,50,0.5209999999999999,0.6237096774193548,0.6204786158945752,0.8843672456575682,0.8902457757296467,"[[883, 202], [31, 899]]"
seed50_leaf8,0.35,8,50,0.5226564548100379,0.6230645161290322,0.6197348209232759,0.8843672456575682,0.8900921658986175,"[[885, 200], [33, 897]]"
seed50_leaf8,0.35,8,50,0.503,0.6246774193548387,0.6228393564556554,0.8838709677419355,0.8913978494623656,"[[861, 224], [10, 920]]"
seed50_leaf8,0.35,8,50,0.5035,0.6245161290322581,0.6226695771687283,0.8838709677419355,0.8913978494623656,"[[861, 224], [10, 920]]"
best_seed198,0.35,8,198,0.502,0.6230645161290322,0.6208505133802248,0.8838709677419355,0.8906298003072197,"[[871, 214], [20, 910]]"
best_seed198,0.35,8,198,0.507,0.6222580645161291,0.6197752445630205,0.8838709677419355,0.890168970814132,"[[877, 208], [26, 904]]"
best_seed198,0.35,8,198,0.5075,0.6225806451612903,0.6200501253132833,0.8838709677419355,0.890168970814132,"[[877, 208], [26, 904]]"
best_seed198,0.35,8,198,0.508,0.6222580645161291,0.6196620583717358,0.8838709677419355,0.890168970814132,"[[877, 208], [26, 904]]"
best_seed198,0.35,8,198,0.509,0.6220967741935484,0.6194114318053198,0.8838709677419355,0.8900921658986175,"[[878, 207], [27, 903]]"
best_seed198,0.35,8,198,0.5095,0.6216129032258064,0.6188697550327431,0.8838709677419355,0.8900921658986175,"[[878, 207], [27, 903]]"
best_seed198,0.35,8,198,0.51,0.6219354838709678,0.6191284663271082,0.8838709677419355,0.8900921658986175,"[[878, 207], [27, 903]]"
best_seed28,0.35,10,28,0.49649999999999994,0.6303225806451613,0.6282157005416769,0.8838709677419355,0.8897081413210446,"[[883, 202], [32, 898]]"
best_seed28,0.35,10,28,0.497,0.6303225806451613,0.6281833616298812,0.8838709677419355,0.8897081413210446,"[[883, 202], [32, 898]]"
seed50_leaf8,0.35,8,50,0.522,0.6235483870967742,0.6202603282399548,0.8838709677419355,0.8896313364055299,"[[884, 201], [33, 897]]"
seed50_leaf8,0.35,8,50,0.5225,0.6230645161290322,0.6197509903791738,0.8838709677419355,0.8896313364055299,"[[884, 201], [33, 897]]"
best_seed28,0.35,10,28,0.499,0.6301612903225806,0.6279489045193629,0.8838709677419355,0.8895545314900154,"[[885, 200], [34, 896]]"
seed50_leaf8,0.35,8,50,0.5229999999999999,0.6229032258064516,0.619565041636349,0.8838709677419355,0.8895545314900154,"[[885, 200], [34, 896]]"
best_seed28,0.35,10,28,0.49949999999999994,0.6304838709677419,0.6282561241814213,0.8838709677419355,0.8894777265745009,"[[886, 199], [35, 895]]"
seed50_leaf8,0.35,8,50,0.5235,0.6230645161290322,0.6196863125555825,0.8838709677419355,0.8894777265745009,"[[886, 199], [35, 895]]"
seed50_leaf8,0.35,8,50,0.5025,0.6243548387096775,0.6225644757053925,0.8833746898263027,0.8909370199692781,"[[860, 225], [10, 920]]"
best_seed198,0.35,8,198,0.49449999999999994,0.6238709677419355,0.6222491713153853,0.8833746898263027,0.8906298003072197,"[[864, 221], [14, 916]]"
best_seed198,0.35,8,198,0.495,0.6237096774193548,0.6220470531166626,0.8833746898263027,0.8906298003072197,"[[864, 221], [14, 916]]"
best_seed198,0.35,8,198,0.49511387773922844,0.6235483870967742,0.6218611043738378,0.8833746898263027,0.8906298003072197,"[[864, 221], [14, 916]]"
