kind,params,train_strategy,threshold_strategy,threshold,fs_accuracy,fs_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_confusion_matrix
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_balanced,0.5465142857142856,0.6388709677419355,0.6422265340771283,0.8387096774193549,0.8500768049155145,"[[762, 323], [2, 928]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,default,,1.0,1.0,0.7935483870967742,0.8078341013824885,"[[675, 410], [6, 924]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_accuracy,0.4750000000003638,1.0,1.0,0.7722084367245657,0.7883256528417819,"[[628, 457], [2, 928]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_balanced,0.4750000000003638,1.0,1.0,0.7722084367245657,0.7883256528417819,"[[628, 457], [2, 928]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,default,,0.6356451612903226,0.6386530843237125,0.8471464019851117,0.8580645161290323,"[[777, 308], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_accuracy,0.4922773045367286,0.6356451612903226,0.6389926428975665,0.8426799007444169,0.8539170506912442,"[[768, 317], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_balanced,0.4803116461826852,0.6351612903225806,0.6392594389198804,0.8312655086848635,0.8433179723502304,"[[745, 340], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,default,,1.0,1.0,0.832258064516129,0.8427035330261137,"[[767, 318], [20, 910]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_accuracy,0.42295984671083564,1.0,1.0,0.7880893300248138,0.8031490015360983,"[[659, 426], [1, 929]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_balanced,0.42295984671083564,1.0,1.0,0.7880893300248138,0.8031490015360983,"[[659, 426], [1, 929]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,default,,0.6296774193548387,0.6308836607648153,0.8630272952853598,0.8725038402457758,"[[813, 272], [4, 926]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_accuracy,0.46891658581999146,0.6362903225806451,0.6391381680006467,0.8476426799007444,0.8585253456221198,"[[778, 307], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_balanced,0.46891658581999146,0.6362903225806451,0.6391381680006467,0.8476426799007444,0.8585253456221198,"[[778, 307], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,default,,1.0,1.0,0.8471464019851117,0.8543010752688172,"[[826, 259], [49, 881]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_accuracy,0.4019481364779649,1.0,1.0,0.7945409429280397,0.809062980030722,"[[673, 412], [2, 928]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.45}, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_balanced,0.4019481364779649,1.0,1.0,0.7945409429280397,0.809062980030722,"[[673, 412], [2, 928]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,default,,0.6295161290322581,0.6355485487913332,0.8059553349875931,0.819815668202765,"[[694, 391], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_accuracy,0.530821428571429,0.6377419354838709,0.6418465518635298,0.826302729528536,0.8387096774193548,"[[735, 350], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_balanced,0.530821428571429,0.6377419354838709,0.6418465518635298,0.826302729528536,0.8387096774193548,"[[735, 350], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,default,,1.0,1.0,0.8024813895781637,0.8162826420890937,"[[691, 394], [4, 926]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_accuracy,0.4750000000003638,1.0,1.0,0.7821339950372208,0.797542242703533,"[[648, 437], [2, 928]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_balanced,0.4750000000003638,1.0,1.0,0.7821339950372208,0.797542242703533,"[[648, 437], [2, 928]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,default,,0.6348387096774194,0.6386773385075593,0.8352357320099255,0.8470046082949308,"[[753, 332], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_accuracy,0.5096416993508576,0.6369354838709678,0.6402861993693912,0.8466501240694789,0.8575268817204301,"[[777, 308], [1, 929]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_balanced,0.5096416993508576,0.6369354838709678,0.6402861993693912,0.8466501240694789,0.8575268817204301,"[[777, 308], [1, 929]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,default,,1.0,1.0,0.8317617866004963,0.843010752688172,"[[756, 329], [10, 920]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_accuracy,0.4458472815211012,1.0,1.0,0.794044665012407,0.8086021505376344,"[[672, 413], [2, 928]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_balanced,0.4458472815211012,1.0,1.0,0.794044665012407,0.8086021505376344,"[[672, 413], [2, 928]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,default,,0.6333870967741936,0.6359366157328805,0.8471464019851117,0.857910906298003,"[[779, 306], [2, 928]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_accuracy,0.488415926834309,0.6345161290322581,0.6376101544183039,0.8441687344913151,0.8552995391705069,"[[771, 314], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_balanced,0.47279824174104174,0.6335483870967742,0.6376424933300995,0.8377171215880893,0.8493087557603687,"[[758, 327], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,default,,1.0,1.0,0.8451612903225807,0.8548387096774193,"[[791, 294], [18, 912]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_accuracy,0.4501405284240779,1.0,1.0,0.8188585607940446,0.8314900153609831,"[[724, 361], [4, 926]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.6}, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_balanced,0.4501405284240779,1.0,1.0,0.8188585607940446,0.8314900153609831,"[[724, 361], [4, 926]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.8}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,default,,0.6288709677419355,0.6344490257902822,0.818362282878412,0.8313364055299539,"[[719, 366], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.8}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_accuracy,0.6314285714285715,0.6356451612903226,0.6327674023769101,0.8640198511166253,0.8692012288786481,"[[870, 215], [59, 871]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.8}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_balanced,0.49516428571428606,0.6287096774193548,0.634796669092085,0.8138957816377171,0.8271889400921659,"[[710, 375], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.8}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,default,,1.0,1.0,0.8129032258064516,0.8261136712749616,"[[710, 375], [2, 928]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.8}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_accuracy,0.4750000000003638,1.0,1.0,0.7950372208436725,0.8096006144393242,"[[673, 412], [1, 929]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.8}, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_balanced,0.4750000000003638,1.0,1.0,0.7950372208436725,0.8096006144393242,"[[673, 412], [1, 929]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.8}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,default,,0.6306451612903226,0.6353787695044062,0.832258064516129,0.8442396313364056,"[[747, 338], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.8}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_accuracy,0.5243872210560903,0.6324193548387097,0.6357587517180048,0.8481389578163772,0.8589861751152074,"[[779, 306], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.8}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_only,fs_balanced,0.5073924551308613,0.6314516129032258,0.6357910906298003,0.8392059553349875,0.8506912442396313,"[[761, 324], [0, 930]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.8}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,default,,1.0,1.0,0.8198511166253102,0.8321044546850999,"[[730, 355], [8, 922]]"
extra_trees,"{""class_weight"": {""0"": 1.0, ""1"": 0.8}, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""n_estimators"": 700}",train_plus_feature_selection,fs_accuracy,0.47819944631794453,1.0,1.0,0.8074441687344913,0.8208141321044546,"[[702, 383], [5, 925]]"
