Method,JSD,SSIM,NND,FN,MAE
DCDF-VAE,0.03052669805329796,0.7726861109967442,116.43965476900559,13.800811181833204,0.03979726798458987
cMLP,0.012117480767422282,0.9981099837536247,1.34722491941725,0.11533237921786595,0.00035115497752534957
Pearson-Corr,0.00630573493839674,0.8433122000616877,91.87959658207564,21.843952641411235,0.06847948303748569
Kendall-Corr,0.006262882294753592,0.8879574861223979,60.90973292266389,13.926874436515586,0.043667780502909335
Spearman-Corr-ref,0.006051423750597966,0.864551166736753,82.46458060067238,18.749067593856207,0.05855814737377039
cLSTM,3.213960275825454e-06,0.7453772262731242,21.257217626108403,1.5425041874818433,0.004665414788191531
