group,UCs,BCs,SCs,Active,UC_ratio,BC_ratio,SC_ratio
children,2092.0,1826.0,27.0,3945.0,0.5302915082382763,0.46286438529784535,0.006844106463878327
young,2452.0,1466.0,27.0,3945.0,0.6215462610899873,0.3716096324461344,0.006844106463878327
