epoch,tau,loss,rec,kl,sparse,temporal,prior,val_loss
1.0,1.0,1.6130553654261999,1.60584899357387,2.5953240735190257,5.844896725245884,0.16615211537906102,0.07514323507036481,0.9924905300140381
2.0,0.98,1.0493922063282557,1.0426413757460458,2.319347245352609,5.7475137029375345,0.16791700891086034,0.06347070315054484,0.9700010120868683
3.0,0.9603999999999999,0.989328852721623,0.9829902138028827,2.209614174706595,5.639870507376535,0.16863895739827836,0.05296354953731809,0.968690425157547
4.0,0.9411919999999999,0.9707673702921186,0.9647594094276428,2.349348613194057,5.5305986404418945,0.16769206523895264,0.044393213731901984,0.9725538492202759
5.0,0.9223681599999999,0.9468567882265363,0.9410716720989772,2.5681303909846713,5.435987336294992,0.16743963956832886,0.0387595822768552,0.9684391915798187
6.0,0.9039207967999999,0.9295471821512494,0.9239266855376107,2.8162713732038225,5.352847235543387,0.1670177664075579,0.0346632967037814,0.9582323431968689
7.0,0.8858423808639999,0.9095301798411778,0.9040285093443734,3.117945228304182,5.276674202510288,0.16704302813325608,0.03172823839953968,0.9294969141483307
8.0,0.8681255332467199,0.8831569722720555,0.8777731316430228,3.5098213127681186,5.186022962842669,0.16614687655653274,0.028914154640265873,0.8706768155097961
9.0,0.8507630225817855,0.8329969303948539,0.827742201941354,4.035972561155047,5.063723700387137,0.1647148643221174,0.02612258493900299,0.7898640334606171
10.0,0.8337477621301498,0.7350371139390128,0.7298621024404254,4.849831308637347,4.920845304216657,0.16666425977434432,0.024556056463292668,0.7151967585086823
11.0,0.8170728068875467,0.620998774256025,0.6157768879617963,5.645167418888637,4.809839725494385,0.17248078329222544,0.026408491656184196,0.6424540579319
12.0,0.8007313507497958,0.5462707877159119,0.5410057135990688,6.3481742313929965,4.693712030138288,0.1814384162425995,0.02857187975730215,0.5560564994812012
