group,hp_id,hidden_dim,latent_dim,lambda_sparse,lambda_kl,lambda_prior,lr,selection_score,final_loss,final_val_loss,mean_density_q95
young,0,32,12,0.0008,0.0001,0.03,0.001,0.5560738605923122,0.5462707877159119,0.5560564994812012,0.050347222222222224
young,1,48,16,0.0005,0.0001,0.05,0.0008,0.5653160674042171,0.7162304605756488,0.5652987062931061,0.050347222222222224
