group,UCs,BCs,SCs,Active,UC_ratio,BC_ratio,SC_ratio
children,2481.0,2134.0,27.0,4642.0,0.53446790176648,0.4597156398104265,0.005816458423093494
young,1535.0,850.0,27.0,2412.0,0.6364013266998342,0.3524046434494196,0.011194029850746268
