group,UCs,BCs,SCs,Active,UC_ratio,BC_ratio,SC_ratio
children,45.0,46.0,5.0,96.0,0.46875,0.4791666666666667,0.052083333333333336
young,79.0,12.0,5.0,96.0,0.8229166666666666,0.125,0.052083333333333336
