Method,JSD,SSIM,NND,FN,MAE
DCDF-VAE,0.026916798193955628,0.7752797799471064,20.49979633119652,4.246264638439404,0.06931048819306954
cMLP,0.011656105378345778,0.9980780861782621,0.10838160752459214,0.021153640950721368,0.0003515340569543292
Spearman-Corr,0.007832291952322068,0.9080462417959404,13.276697082463647,3.889302970526768,0.06743686365330682
Pearson-Corr,0.0077568121531613006,0.8987467247286859,14.290331310119655,4.343068960858019,0.07627461274346893
Kendall-Corr,0.006812571934694658,0.9521958334143159,7.544844737572718,2.341361714932444,0.03947011152801375
Spearman-Corr-ref,0.006613642716545627,0.9328323766193238,10.218622836886821,3.168877069289358,0.05326793036349247
cLSTM,3.2994900189214807e-06,0.7405735880139115,1.6465251759741752,0.28431577337377545,0.004784946950773398
