threshold,fs_accuracy,fs_balanced_accuracy,test_accuracy,test_balanced_accuracy,n_selected_features
0.35,0.6148387096774194,0.6267281105990783,0.7672456575682383,0.7838709677419355,124
0.36,0.6175806451612903,0.6284824965639906,0.7766749379652605,0.7926267281105991,124
0.37,0.6188709677419355,0.6288543940496403,0.7826302729528536,0.7981566820276498,124
0.38,0.6211290322580645,0.6301156116096693,0.7890818858560794,0.804147465437788,124
0.39,0.6217741935483871,0.6298569003153044,0.796029776674938,0.8105990783410137,124
0.4,0.6261290322580645,0.6333414180612822,0.8024813895781637,0.816589861751152,124
0.41,0.6285483870967742,0.6350634651143989,0.8089330024813896,0.8225806451612903,124
0.42,0.6298387096774194,0.63564556552672,0.8129032258064516,0.8261136712749616,124
0.43,0.6374193548387097,0.6424448217317488,0.820347394540943,0.8329493087557605,124
0.44,0.6406451612903226,0.6451451208666829,0.8277915632754342,0.8397849462365592,124
0.45,0.6409677419354839,0.6448217317487266,0.8347394540942928,0.8462365591397849,124
0.46,0.6429032258064517,0.6462446438677338,0.8392059553349875,0.8503072196620584,124
0.47,0.6427419354838709,0.6455897809038726,0.8461538461538461,0.8563748079877112,124
0.4716939640826283,0.6438709677419355,0.6466488802651791,0.8461538461538461,0.8563748079877112,124
0.48,0.6427419354838709,0.6451855445064274,0.8496277915632754,0.8592933947772657,124
0.49,0.6406451612903226,0.6427035330261137,0.8531017369727047,0.861904761904762,124
0.5,0.6385483870967742,0.6400598269868218,0.854590570719603,0.862826420890937,124
0.51,0.6361290322580645,0.6370603929177783,0.8590570719602978,0.866589861751152,124
0.52,0.637258064516129,0.6376829169698439,0.8615384615384616,0.8681259600614439,124
0.53,0.6351612903225806,0.6350068720187565,0.8620347394540943,0.8680491551459293,124
0.54,0.6335483870967742,0.6326784703694721,0.8640198511166253,0.8692012288786481,124
0.55,0.6306451612903226,0.6289756649688738,0.8615384615384616,0.8661290322580645,124
0.56,0.6280645161290322,0.6255477403185383,0.8630272952853598,0.8666666666666667,124
0.57,0.6220967741935484,0.6186838062899184,0.8620347394540943,0.8647465437788018,124
0.58,0.6203225806451613,0.6162179642655025,0.8615384615384616,0.8631336405529955,124
