group,UCs,BCs,SCs,Active,UC_ratio,BC_ratio,SC_ratio
children,2679.0,1936.0,27.0,4642.0,0.5771,0.4171,0.0058
young,1631.0,754.0,27.0,2412.0,0.6762,0.3126,0.0112
