group,UCs,BCs,SCs,Active,UC_ratio,BC_ratio,SC_ratio
children,2481.0,2134.0,27.0,4642.0,0.5345,0.4597,0.0058
young,1535.0,850.0,27.0,2412.0,0.6364,0.3524,0.0112
