人群,单向连接(UCs),双向连接(BCs),自连接(SCs),活跃dECs总数
儿童,4109（88.94%）,223（4.83%）,288（6.23%）,4620
青少年,2032（86.14%）,35（1.48%）,292（12.38%）,2359
