Method,JSD,SSIM,NND,FN,MAE
DCDF-VAE,0.0286,0.7655,123.2262,14.4521,0.0412
cMLP,0.0121,0.9981,1.3472,0.1153,0.0004
Pearson-Corr,0.0063,0.8433,91.8796,21.844,0.0685
Kendall-Corr,0.0063,0.888,60.9097,13.9269,0.0437
Spearman-Corr-ref,0.0061,0.8646,82.4646,18.7491,0.0586
cLSTM,0.0,0.7454,21.2572,1.5425,0.0047
